song name,band name,band members,genre,album name,album label,album release date,song length,position on album,lyrics writers,music writers
Bomber,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Bomber,Bronze Records,1979-10-12,03:43:00,10,"{""Lemmy Kilmister""}","{""Lemmy Kilmister"",""Eddie Clarke"",""Phil Taylor""}"
Dead Men Tell No Tales,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Bomber,Bronze Records,1979-10-12,03:07:00,1,"{""Lemmy Kilmister""}","{""Lemmy Kilmister"",""Eddie Clarke"",""Phil Taylor""}"
Enter Sandman,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,The Black Album,Elektra Records,1991-08-12,05:31:00,1,"{""James Hetfield""}","{""James Hetfield"",""Lars Ulrich"",""Kirk Hammett""}"
Fade to Black,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,06:55:00,4,"{""James Hetfield""}","{""James Hetfield"",""Lars Ulrich"",""Cliff Burton"",""Kirk Hammett""}"
For Whom the Bell Tolls,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,Ride The Lightning,Megaforce Records,1984-07-27,05:11:00,3,"{""James Hetfield""}","{""James Hetfield"",""Lars Ulrich"",""Cliff Burton""}"
Hit The Lights,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,04:17:00,1,"{""'James Hetfield'""}","{""'James Hetfield'"",""'Lars Ulrich'""}"
Iron Horse / Born to Lose,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,05:21:00,4,"{""Lemmy Kilmister""}","{""Phil Taylor"",""Mick Brown"",""Guy 'Tramp' Lawrence""}"
Love Me Like a Reptyle,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:21:00,2,"{""Lemmy Kilmister""}","{""Lemmy Kilmister"",""Eddie Clarke"",""Phil Taylor""}"
Motorhead,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Motorhead,Chriswick Records,1977-08-12,03:13:00,1,"{""Lemmy Kilmister""}","{""Lemmy Kilmister""}"
Paradise City,Guns N' Roses,"{""Axl Rose"",""Saul Hudson"",""Izzy Stradlin"",""Duff McKagan"",""Steven Adler""}",Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,06:46:00,6,"{""Axl Rose"",""Saul Hudson"",""Izzy Stradlin"",""Duff McKagan"",""Steven Adler""}","{""Axl Rose"",""Saul Hudson"",""Izzy Stradlin"",""Duff McKagan"",""Steven Adler""}"
Sweet Child o Mine,Guns N' Roses,"{""Axl Rose"",""Saul Hudson"",""Izzy Stradlin"",""Duff McKagan"",""Steven Adler""}",Glam Rock,Appetite for Destruction,Greffen Records,1987-07-21,05:55:00,9,"{""Axl Rose""}","{""Axl Rose"",""Saul Hudson"",""Izzy Stradlin"",""Duff McKagan"",""Steven Adler""}"
The Four Horsemen,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,Kill 'Em All,Megaforce Records,1983-07-25,07:13:00,2,"{""'James Hetfield'""}","{""'James Hetfield'"",""'Lars Ulrich'"",""Dave Mustaine""}"
The Unforgiven,Metallica,"{""'James Hetfield'"",""'Kirk Hamett'"",""'Robert Trujilo'"",""'Lars Ulrich'""}",Trash Metal,The Black Album,Elektra Records,1991-08-12,06:27:00,4,"{""James Hetfield""}","{""James Hetfield"",""Lars Ulrich"",""Kirk Hammett""}"
(We Are) the Road Crew,Motorhead,"{""Lemmy Kilmister"",""Phil Campbell"",""Mikkey Dee""}",Rock 'N' Roll,Ace of Spades,Bronze Records,1980-11-08,03:10:00,6,"{""Lemmy Kilmister""}","{""Lemmy Kilmister"",""Eddie Clarke"",""Phil Taylor""}"
